t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z,2D_distance,2D_length,2D_wide,2D_area,3D_distance,3D_length,3D_wide,3D_height,3D_volume,action
75,293.9007088797143,101.41732679111429,307.0,171.0,264.2857142857143,35.142857142857146,1084.2398158457142,148.42756652837144,2308.9298270085715,1205.671665737143,-418.27747889914286,2338.9298270085715,833.0094953264286,674.2327401297143,2278.9298270085715,1.7853686767784893,135.85714285714286,42.71428571428572,5803.040816326532,3.1682997347471655,372.66217041071445,1092.5102190288571,60.0,24428233.765150733,p_stand
76,247.72672172221732,66.5381383481217,275.4347826086956,173.08695652173913,208.2608695652174,8.0,639.8804175334783,390.2445240851304,2081.771792204348,854.2244992465219,-393.2303426990869,2111.771792204348,347.48061055730875,805.8265354323044,2051.771792204348,39.493288247112346,165.08695652173913,67.17391304347822,11089.536862003773,303.79532673277413,506.7438886892131,1199.0568781313914,60.0,36456884.711030945,p_stand
77,142.30028778078804,69.67711608886,174.6,172.92,92.16,8.0,-140.271076049796,386.53925781248,2189.3595214844,109.88627197270799,-411.77531127928,2219.3595214844,-519.1809832763199,848.08125732416,2159.3595214844,28.690895689331825,164.92,82.44,13596.004799999999,239.2211345521929,629.0672552490279,1259.8565686034399,60.0,47552070.81712947,a_walk
78,69.02528103915455,61.42804388565908,103.18181818181819,158.72727272727272,15.0,8.0,-774.6623507412728,497.86356977972724,2421.356633966818,-489.2066470059545,-332.2204992119546,2451.356633966818,-1217.6591242013633,939.1973516290908,2391.356633966818,27.138213203490494,150.72727272727272,88.18181818181819,13291.404958677685,252.27130025501606,728.4524771954088,1271.4178508410455,60.0,55570048.97973735,a_walk
79,48.073405901591656,53.13792991637501,82.83333333333333,151.0,8.0,8.0,-1038.3971735641665,620.8423843383333,2646.79892985,-724.4726104735834,-290.98588307691676,2676.79892985,-1394.7887573241667,1027.7390569049578,2616.79892985,43.4921547436074,143.0,74.83333333333333,10701.166666666666,423.08310899007506,670.3161468505833,1318.7249399818745,60.0,53037757.23146501,a_walk
80,52.74875736236876,49.42338609695,85.0,149.0,8.0,8.0,-1034.87638092125,681.0446395875,2751.9038085943753,-731.4514808655,-282.9010829925625,2781.9038085943753,-1450.8110351568753,1069.018646240625,2721.9038085943757,43.69095549974169,141.0,77.0,10857.0,441.4347210515741,719.3595542913753,1351.9197292331876,59.999999999999545,58350982.43153372,a_walk
81,45.95501708984,53.98469594320002,81.73333333333333,149.0,8.0,8.0,-1070.2353556316666,619.5191935221333,2676.0902506506663,-742.6926167806668,-275.19134521486666,2706.0902506506663,-1410.4014200843333,1039.2431274426667,2646.0902506506663,41.90300791985752,141.0,73.73333333333333,10396.4,412.1604181589387,667.7088033036665,1314.4344726575334,60.0,52659568.12555485,p_stand
82,46.44553243703793,54.87731170653792,82.10344827586206,149.0,8.0,8.0,-1048.5516883589657,601.4968977303105,2633.94910089,-727.6128224339309,-270.9058753704137,2663.94910089,-1387.9396130786206,1022.6923365103445,2603.94910089,40.0244770764116,141.0,74.10344827586206,10448.58620689655,388.3005480224996,660.3267906446897,1293.5982118807583,60.0,51251853.33809583,p_stand
83,43.22094700253448,54.09121875105516,81.48275862068965,149.0,8.0,8.0,-1076.8696204882758,607.8715062634482,2630.28626751069,-732.4043768519999,-270.53338517813796,2660.28626751069,-1385.9872583844826,1021.2537673413793,2600.28626751069,44.32315388632066,141.0,73.48275862068965,10361.068965517241,426.960212735868,653.5828815324827,1291.7871525195173,60.0,50657398.16822082,p_stand
84,52.63866126018696,56.69393589185652,83.0,146.91304347826087,8.0,8.0,-1008.9245074728261,595.0068545133914,2679.921662704348,-731.7149897036521,-255.8089811905217,2709.921662704348,-1412.4436300526086,1040.7479248052173,2649.921662704348,29.13247251636919,138.91304347826087,75.0,10418.478260869566,293.33213886722706,680.7286403489564,1296.556905995739,60.0,52956205.18521175,p_stand
